time,vol_phase,vol_amp,period_months,period_years,phase_fit_r2,months_until_fear,months_until_euphoria,fear_window_24m,fear_window_36m,euphoria_window_24m,euphoria_window_36m,confidence,nasdaq_close,nasdaq_sma,nasdaq_overext,nasdaq_mom_fast,nasdaq_mom_slow,vol_ann,vol_z,trend_break,overext_flag,mom_decel,macro_risk,fear_level,euphoria_level,fear_trigger,euphoria_trigger
1973-06-01,,,,,,,,0,0,0,0,0.0,102.3,,,,,,,0,0,0,0,0,0,0,0
1973-06-04,,,,,,,,0,0,0,0,0.0,100.77,,,,,,,0,0,0,0,0,0,0,0
1973-06-05,,,,,,,,0,0,0,0,0.0,101.71,,,,,,,0,0,0,0,0,0,0,0
1973-06-06,,,,,,,,0,0,0,0,0.0,101.7,,,,,,,0,0,0,0,0,0,0,0
1973-06-07,,,,,,,,0,0,0,0,0.0,102.57,,,,,,,0,0,0,0,0,0,0,0
1973-06-08,,,,,,,,0,0,0,0,0.0,103.72,,,,,,,0,0,0,0,0,0,0,0
1973-06-11,,,,,,,,0,0,0,0,0.0,103.04,,,,,,,0,0,0,0,0,0,0,0
1973-06-12,,,,,,,,0,0,0,0,0.0,104.79,,,,,,,0,0,0,0,0,0,0,0
1973-06-13,,,,,,,,0,0,0,0,0.0,104.33,,,,,,,0,0,0,0,0,0,0,0
1973-06-14,,,,,,,,0,0,0,0,0.0,103.56,,,,,,,0,0,0,0,0,0,0,0
1973-06-15,,,,,,,,0,0,0,0,0.0,102.26,,,,,0.16438668944282442,,0,0,0,0,0,0,0,0
1973-06-18,,,,,,,,0,0,0,0,0.0,100.77,,,,,0.17028415762711968,,0,0,0,0,0,0,0,0
1973-06-19,,,,,,,,0,0,0,0,0.0,100.96,,,,,0.16363693713976685,,0,0,0,0,0,0,0,0
1973-06-20,,,,,,,,0,0,0,0,0.0,101.19,,,,,0.15784448646113128,,0,0,0,0,0,0,0,0
1973-06-21,,,,,,,,0,0,0,0,0.0,100.4,,,,,0.15478497330571858,,0,0,0,0,0,0,0,0
1973-06-22,,,,,,,,0,0,0,0,0.0,100.99,,,,,0.1522058463289953,,0,0,0,0,0,0,0,0
1973-06-25,,,,,,,,0,0,0,0,0.0,99.43,,,,,0.15773683599505636,,0,0,0,0,0,0,0,0
1973-06-26,,,,,,,,0,0,0,0,0.0,99.96,,,,,0.1552813821529166,,0,0,0,0,0,0,0,0
1973-06-27,,,,,,,,0,0,0,0,0.0,100.22,,,,,0.1515758141691427,,0,0,0,0,0,0,0,0
1973-06-28,,,,,,,,0,0,0,0,0.0,101.16,,,,,0.15213327330593995,,0,0,0,0,0,0,0,0
1973-06-29,,,,,,,,0,0,0,0,0.0,100.98,,,-0.012903225806451535,,0.14834279241935627,,0,0,0,0,0,0,0,0
1973-07-02,,,,,,,,0,0,0,0,0.0,100.15,,,-0.006152624789123706,,0.141818985862514,,0,0,0,0,0,0,0,0
1973-07-03,,,,,,,,0,0,0,0,0.0,99.45,,,-0.022220037361124656,,0.13911717406075289,,0,0,0,0,0,0,0,0
1973-07-05,,,,,,,,0,0,0,0,0.0,99.39,,,-0.02271386430678468,,0.13908303530325145,,0,0,0,0,0,0,0,0
1973-07-06,,,,,,,,0,0,0,0,0.0,99.48,,,-0.030125767768353184,,0.13483907312781734,,0,0,0,0,0,0,0,0
1973-07-09,,,,,,,,0,0,0,0,0.0,100.01,,,-0.035769379097570275,,0.12927587257544126,,0,0,0,0,0,0,0,0
1973-07-10,,,,,,,,0,0,0,0,0.0,101.18,,,-0.018051242236024834,,0.13604038372557278,,0,0,0,0,0,0,0,0
1973-07-11,,,,,,,,0,0,0,0,0.0,102.69,,,-0.020040080160320772,,0.1327812189249832,,0,0,0,0,0,0,0,0
1973-07-12,,,,,,,,0,0,0,0,0.0,103.17,,,-0.01111856608837336,,0.13354649922404552,,0,0,0,0,0,0,0,0
1973-07-13,,,,,,,,0,0,0,0,0.0,103.03,,,-0.005117806102742373,,0.13125599050508255,,0,0,0,0,0,0,0,0
1973-07-16,,,,,,,,0,0,0,0,0.0,103.97,,,0.016722080970076325,,0.12695207738945236,,0,0,0,0,0,0,0,0
1973-07-17,,,,,,,,0,0,0,0,0.0,104.64,,,0.03840428699017573,,0.11502409748673727,,0,0,0,0,0,0,0,0
1973-07-18,,,,,,,,0,0,0,0,0.0,105.77,,,0.047642630744849424,,0.1190610340449428,,0,0,0,0,0,0,0,0
1973-07-19,,,,,,,,0,0,0,0,0.0,106.52,,,0.05267318905030138,,0.12017944718457631,,0,0,0,0,0,0,0,0
1973-07-20,,,,,,,,0,0,0,0,0.0,107.68,,,0.07250996015936262,,0.1171527223902883,,0,0,0,0,0,0,0,0
1973-07-23,,,,,,,,0,0,0,0,0.0,107.75,,,0.06693732052678492,,0.11723112171150869,,0,0,0,0,0,0,0,0
1973-07-24,,,,,,,,0,0,0,0,0.0,108.29,,,0.089107915116162,,0.09540657295095233,,0,0,0,0,0,0,0,0
1973-07-25,,,,,,,,0,0,0,0,0.0,109.19,,,0.09233693477390958,,0.09636660020275976,,0,0,0,0,0,0,0,0
1973-07-26,,,,,,,,0,0,0,0,0.0,109.17,,,0.08930353222909604,,0.09751217467882056,,0,0,0,0,0,0,0,0
1973-07-27,,,,,,,,0,0,0,0,0.0,109.36,,,0.08105970739422697,,0.09607431569499451,,0,0,0,0,0,0,0,0
1973-07-30,,,,,,,,0,0,0,0,0.0,108.88,,,0.07823331352743113,,0.09842168930398387,,0,0,0,0,0,0,0,0
1973-07-31,,,,,,,,0,0,0,0,0.0,108.64,,,0.08477284073889169,,0.09109958986629205,,0,0,0,0,0,0,0,0
1973-08-01,,,,,,,,0,0,0,0,0.0,108.64,,,0.09240824534942171,,0.08325769234850544,,0,0,0,0,0,0,0,0
1973-08-02,,,,,,,,0,0,0,0,0.0,106.98,,,0.0763658315725928,,0.10666037868447129,,0,0,0,0,0,0,0,0
1973-08-03,,,,,,,,0,0,0,0,0.0,106.82,,,0.07378367511057493,,0.10777325618547305,,0,0,0,0,0,0,0,0
1973-08-06,,,,,,,,0,0,0,0,0.0,107.21,,,0.07199280071992797,,0.10758835061698321,,0,0,0,0,0,0,0,0
1973-08-07,,,,,,,,0,0,0,0,0.0,107.3,,,0.06048626210713559,,0.10365581423657562,,0,0,0,0,0,0,0,0
1973-08-08,,,,,,,,0,0,0,0,0.0,106.13,,,0.03349888012464697,,0.10461324452056073,,0,0,0,0,0,0,0,0
1973-08-09,,,,,,,,0,0,0,0,0.0,106.15,,,0.028884365610158058,,0.10414056711422723,,0,0,0,0,0,0,0,0
1973-08-10,,,,,,,,0,0,0,0,0.0,105.32,,,0.022226535960399696,,0.10863527642009096,,0,0,0,0,0,0,0,0
1973-08-13,,,,,,,,0,0,0,0,0.0,104.35,,,0.003654900452053411,,0.11013072133488747,,0,0,0,0,0,0,0,0
1973-08-14,,,,,,,,0,0,0,0,0.0,103.59,,,-0.010034403669724745,,0.1105740742754317,,0,0,0,0,0,0,0,0
1973-08-15,,,,,,,,0,0,0,0,0.0,103.35,,,-0.022879833601210153,,0.10275173792122279,,0,0,0,0,0,0,0,0
1973-08-16,,,,,,,,0,0,0,0,0.0,103.31,,,-0.030135185880585724,,0.09837198747035425,,0,0,0,0,0,0,0,0
1973-08-17,,,,,,,,0,0,0,0,0.0,103.71,,,-0.03686849925705804,,0.08985368969152666,,0,0,0,0,0,0,0,0
1973-08-20,,,,,,,,0,0,0,0,0.0,102.67,,,-0.04714617169373547,,0.09361074092409088,,0,0,0,0,0,0,0,0
1973-08-21,,,,,,,,0,0,0,0,0.0,102.12,,,-0.05697663680856957,,0.09008193180591945,,0,0,0,0,0,0,0,0
1973-08-22,,,,,,,,0,0,0,0,0.0,101.34,,,-0.07189303049729823,,0.0815388369402671,,0,0,0,0,0,0,0,0
1973-08-23,,,,,,,,0,0,0,0,0.0,102.53,,,-0.06082257030319682,,0.0970102996270999,,0,0,0,0,0,0,0,0
1973-08-24,,,,,,,,0,0,0,0,0.0,102.4,,,-0.06364301389904892,,0.09566254288500452,,0,0,0,0,0,0,0,0
1973-08-27,,,,,,,,0,0,0,0,0.0,102.91,,,-0.05483100661278473,0.00596285434995103,0.09968238598849603,,0,0,0,0,0,0,0,0
1973-08-28,,,,,,,,0,0,0,0,0.0,102.99,,,-0.05200662739322537,0.022030366180410876,0.10043626641346856,,0,0,0,0,0,0,0,0
